Least of These Carolinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budget vs. Actuals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All dates; Accounting Method: Cash; Budget: Budget_FY26_P&L; Display columns by: ; Show rows: Active; Show columns: Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Administrative Actual,Administrative Budget,Administrative Over Budget,Administrative % of Budget,Childrens Programs &lt; Actual,Childrens Programs &lt; Budget,Childrens Programs &lt; Over Budget,Childrens Programs &lt; % of Budget,Baby Equipment Actual,Baby Equipment Budget,Baby Equipment Over Budget,Baby Equipment % of Budget,Bags of Hope Actual,Bags of Hope Budget,Bags of Hope Over Budget,Bags of Hope % of Budget,Beds of Hope Actual,Beds of Hope Budget,Beds of Hope Over Budget,Beds of Hope % of Budget,Birthdays Actual,Birthdays Budget,Birthdays Over Budget,Birthdays % of Budget,Bridge Camp Actual,Bridge Camp Budget,Bridge Camp Over Budget,Bridge Camp % of Budget,Christmas Actual,Christmas Budget,Christmas Over Budget,Christmas % of Budget,Just Like You Actual,Just Like You Budget,Just Like You Over Budget,Just Like You % of Budget,Life Boxes Actual,Life Boxes Budget,Life Boxes Over Budget,Life Boxes % of Budget,Shoes of Hope Actual,Shoes of Hope Budget,Shoes of Hope Over Budget,Shoes of Hope % of Budget,Total Childrens Programs &lt; Actual,Total Childrens Programs &lt; Budget,Total Childrens Programs &lt; Over Budget,Total Childrens Programs &lt; % of Budget,Cornerstone Fund Actual,Cornerstone Fund Budget,Cornerstone Fund Over Budget,Cornerstone Fund % of Budget,Fundraising &lt; Actual,Fundraising &lt; Budget,Fundraising &lt; Over Budget,Fundraising &lt; % of Budget,Golf Tournament Actual,Golf Tournament Budget,Golf Tournament Over Budget,Golf Tournament % of Budget,Vision Night Actual,Vision Night Budget,Vision Night Over Budget,Vision Night % of Budget,Total Fundraising &lt; Actual,Total Fundraising &lt; Budget,Total Fundraising &lt; Over Budget,Total Fundraising &lt; % of Budget,NC Expansion Actual,NC Expansion Budget,NC Expansion Over Budget,NC Expansion % of Budget,Support Services Actual,Support Services Budget,Support Services Over Budget,Support Services % of Budget,Total Actual,Total Budget,Total Over Budget,Total % of Budget
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405 Non Cash (In Kind) Donations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00%
40510 In Kind Donations - Goods,675.00,,675.00,,,,,,,,,,7193.00,42500.00,-35307.00,16.92 %,,,,,,,,,,,,,141.00,5350.00,-5209.00,2.64 %,,,,,,,,,,22500.00,-22500.00,,7334.00,70350.00,-63016.00,10.43 %,,,,,,,,,,2250.00,-2250.00,,270.00,,270.00,,270.00,2250.00,-1980.00,12.00 %,,,,,,,,,8279.00,72600.00,-64321.00,11.40 %
Total 405 Non Cash (In Kind) Donations,675.00,0.00,675.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7193.00,42500.00,-35307.00,16.92 %,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,141.00,5350.00,-5209.00,2.64 %,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22500.00,-22500.00,0.00,7334.00,70350.00,-63016.00,10.43 %,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2250.00,-2250.00,0.00,270.00,0.00,270.00,0.00,270.00,2250.00,-1980.00,12.00 %,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8279.00,72600.00,-64321.00,11.40 %
410 Contributions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00%
411 Unrestricted Contributions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00%
41000 Unrestricted General Contributions,61462.79,725453.88,-663991.09,8.47 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61462.79,725453.88,-663991.09,8.47 %
41005 Marketing Revenue,34.61,,34.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.61,0.00,34.61,0.00%
Allocations - Zero out Programs,,-755687.76,755687.76,,,,,,,23577.63,-23577.63,,,279754.54,-279754.54,,,38577.63,-38577.63,,,32681.17,-32681.17,,,89516.08,-89516.08,,,125724.38,-125724.38,,,40077.63,-40077.63,,,29577.63,-29577.63,,,104089.56,-104089.56,,,763576.25,-763576.25,,,,,,,,,,,-20000.00,20000.00,,,-57905.00,57905.00,,,-77905.00,77905.00,,,,,,,70016.51,-70016.51,,0.00,0.00,0.00,0.00%
Total 411 Unrestricted Contributions,61497.40,-30233.88,91731.28,-203.41 %,0.00,0.00,0.00,0.00,0.00,23577.63,-23577.63,0.00,0.00,279754.54,-279754.54,0.00,0.00,38577.63,-38577.63,0.00,0.00,32681.17,-32681.17,0.00,0.00,89516.08,-89516.08,0.00,0.00,125724.38,-125724.38,0.00,0.00,40077.63,-40077.63,0.00,0.00,29577.63,-29577.63,0.00,0.00,104089.56,-104089.56,0.00,0.00,763576.25,-763576.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-20000.00,20000.00,0.00,0.00,-57905.00,57905.00,0.00,0.00,-77905.00,77905.00,0.00,0.00,0.00,0.00,0.00,0.00,70016.51,-70016.51,0.00,61497.40,725453.88,-663956.48,8.48 %
415 Restricted Contributions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00%
41501 Operational (Conerstone) Fund,,25200.00,-25200.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,25200.00,-25200.00,0.00%
41510 Bags Of Hope Contributions,,,,,,,,,,,,,2403.15,50000.00,-47596.85,4.81 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2403.15,50000.00,-47596.85,4.81 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2403.15,50000.00,-47596.85,4.81 %
41513 Birthday Contributions,,,,,,,,,,,,,,,,,,,,,300.00,2000.00,-1700.00,15.00 %,,,,,,,,,,,,,,,,,,,,,300.00,2000.00,-1700.00,15.00 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.00,2000.00,-1700.00,15.00 %
41515 Bridge Camp Contributions,,,,,,,,,,,,,,,,,,,,,,,,,2270.00,13700.00,-11430.00,16.57 %,,,,,,,,,,,,,,,,,2270.00,13700.00,-11430.00,16.57 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2270.00,13700.00,-11430.00,16.57 %
41516 Bridgecamp Registration Fees,,,,,,,,,,,,,,,,,,,,,,,,,,3750.00,-3750.00,,,,,,,,,,,,,,,,,,,3750.00,-3750.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,3750.00,-3750.00,0.00%
41520 Christmas Contributions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12600.00,-12600.00,,,,,,,,,,,,,,,12600.00,-12600.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,12600.00,-12600.00,0.00%
41521 Elves do the Shopping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350.00,2500.00,-1150.00,54.00 %,,,,,,,,,,,,,1350.00,2500.00,-1150.00,54.00 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350.00,2500.00,-1150.00,54.00 %
41530 Just Like You Contributions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500.00,-3500.00,,,,,,,,,,,3500.00,-3500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,3500.00,-3500.00,0.00%
41540 Life Box Contributions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1083.00,4000.00,-2917.00,27.08 %,,,,,1083.00,4000.00,-2917.00,27.08 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1083.00,4000.00,-2917.00,27.08 %
41545 Shoes of Hope Contributions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14500.00,-14500.00,,,14500.00,-14500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,14500.00,-14500.00,0.00%
41568 Expansion Fund,,24000.00,-24000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,0.00,24000.00,-24000.00,0.00%
Total 415 Restricted Contributions,0.00,49200.00,-49200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2403.15,50000.00,-47596.85,4.81 %,0.00,0.00,0.00,0.00,300.00,2000.00,-1700.00,15.00 %,2270.00,17450.00,-15180.00,13.01 %,1350.00,15100.00,-13750.00,8.94 %,0.00,3500.00,-3500.00,0.00,1083.00,4000.00,-2917.00,27.08 %,0.00,14500.00,-14500.00,0.00,7406.15,106550.00,-99143.85,6.95 %,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7406.15,155750.00,-148343.85,4.76 %
Total 410 Contributions,61497.40,18966.12,42531.28,324.25 %,0.00,0.00,0.00,0.00,0.00,23577.63,-23577.63,0.00,2403.15,329754.54,-327351.39,0.73 %,0.00,38577.63,-38577.63,0.00,300.00,34681.17,-34381.17,0.87 %,2270.00,106966.08,-104696.08,2.12 %,1350.00,140824.38,-139474.38,0.96 %,0.00,43577.63,-43577.63,0.00,1083.00,33577.63,-32494.63,3.23 %,0.00,118589.56,-118589.56,0.00,7406.15,870126.25,-862720.10,0.85 %,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-20000.00,20000.00,0.00,0.00,-57905.00,57905.00,0.00,0.00,-77905.00,77905.00,0.00,0.00,0.00,0.00,0.00,0.00,70016.51,-70016.51,0.00,68903.55,881203.88,-812300.33,7.82 %
420 Fundraiser Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00%
42015 Golf Tournament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29000.00,-29000.00,,,,,,,29000.00,-29000.00,,,,,,,,,,0.00,29000.00,-29000.00,0.00%
42060 Vision Night,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65000.00,-65000.00,,,65000.00,-65000.00,,,,,,,,,,0.00,65000.00,-65000.00,0.00%
42065 Vision Night Ticket Revenue,60.00,,60.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540.00,,540.00,,540.00,,540.00,,,,,,,,,,600.00,0.00,600.00,0.00%
Total 420 Fundraiser Income,60.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29000.00,-29000.00,0.00,540.00,65000.00,-64460.00,0.83 %,540.00,94000.00,-93460.00,0.57 %,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,600.00,94000.00,-93400.00,0.64 %
430 Grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00%
43010 Unrestricted Grants,,205000.00,-205000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,205000.00,-205000.00,0.00%
43050 Bags of Hope Grant,,,,,,,,,,,,,,60000.00,-60000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000.00,-60000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,60000.00,-60000.00,0.00%
43060 Bridgecamp Grant,,,,,,,,,,,,,,,,,,,,,,,,,,120000.00,-120000.00,,,,,,,,,,,,,,,,,,,120000.00,-120000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,120000.00,-120000.00,0.00%
43067 Christmas Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000.00,-14000.00,,,,,,,,,,,,,,,14000.00,-14000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,14000.00,-14000.00,0.00%
